	{華中}
𧱗	豕目匕
𧱙	豕立女
𧱚	豕戶⺼
𧱚	豕户月
𧱛	豕耳又
𧱡	豕穴工
𧱥	豕巛田
𧱲	豕气米
𧱳	立𧰨舌
𧱶	弓豕豕
𧱹	豕甫寸
𧱻	豕爫見
𧱽	豕辰⺼
𧱽	豕辰月
𧱾	豕豕犬
𧲃	豕門文
𧲋	豕虍豕
𧲏	豕豕豕
𧲢	豸丿七
𧲦	豸一兀
𧲨	豸一廾
𧲪	豸亠几
𧲫	豸乃乀
𧲬	豸口乂
𧲭	豸𠂇工
𧲰	豸斤一
𧲱	豸冂大
𧲴	豸夊⺀
𧲵	豸又土
𧲶	豸丿犬
𧲷	豸木丶
𧲸	豸⺊口
𧲺	豸干丷
𧲻	豸口八
𧲼	豸勹巳
𧲽	豸匚コ
𧲾	豸冊一
𧳀	豸巛山
𧳁	豸夕夕
𧳂	豸亻犬
𧳉	豸䒑廾
𧳊	豸⺈用
𧳌	豸禾儿
𧳌	豸禾几
𧳍	豸⺌⺼
𧳍	豸⺌月
𧳏	豸不口
𧳑	豸尤彡
𧳓	豸丶艮
𧳕	豸一米
𧳖	豸白八
𧳗	豸大巴
𧳛	豸立女
𧳝	豸⺊早
𧳠	豸田丌
𧳣	豸木日
𧳥	豸爫木
𧳩	豸彑𧰨
𧳪	豸田⺼
𧳪	豸田月
𧳫	豸丷酉
𧳬	豸𠃜目
𧳮	豸千里
𧳯	豸耂日
𧳰	豸冖車
𧳲	豸𰀄而
𧳵	豸甫寸
𧳷	豸口貝
𧳻	豸爫虫
𧳽	豸卯田
𧴃	豸車斤
𧴆	豸虍业
𧴋	豸覀示
𧴏	豸舟舟
𧴓	豸而而
𧴘	豸虍豕
𧴬	貝刀丶
𧴳	二厶貝
𧴵	厶厶貝
𧴶	貝七十
𧴸	貝冖儿
𧴺	丿幺貝
𧴼	貝⺀十
𧴾	尸乀貝
𧵀	貝一口
𧵁	貝小丿
𧵇	貝一幺
𧵈	貝勹厶
𧵉	貝⺈小
𧵉	貝𠂉小
𧵊	貝卄二
𧵌	貝冂大
𧵍	夕㔾貝
𧵏	夕卜貝
𧵒	宀丁貝
𧵓	貝刀口
𧵕	丶水貝
𧵘	貝冂土
𧵙	貝口八
𧵚	夕又貝
𧵛	貝丁口
𧵜	丁巛貝
𧵝	貝戈乚
𧵞	口九貝
𧵠	屮凵貝
𧵢	貝勹巳
𧵣	貝勹日
𧵤	貝宀寸
𧵦	貝⺌兀
𧵨	貝宀女
𧵩	木冂貝
𧵪	貝戈刀
𧵭	一廾貝
𧵭	干干貝
𧵰	亻止貝
𧵶	貝戈二
𧵷	貝龶夊
𧵸	戈二貝
𧵺	貝牛八
𧵻	貝弋工
𧵾	貝亠水
𧵿	宀寸貝
𧶁	彐土貝
𧶂	貝戊丶
𧶃	予⺊貝
𧶅	貝𠂉母
𧶆	貝文口
𧶇	貝扌斤
𧶈	貝⺌⺼
𧶈	貝⺌月
𧶋	貝耳乚
𧶍	貝戈幺
𧶏	不口貝
𧶑	山𠃜貝
𧶒	戈口貝
𧶓	夭工貝
𧶔	貝口壬
𧶔	貝口王
𧶞	貝囗禾
𧶟	貝人舌
𧶢	癶弓貝
𧶤	戈戈貝
𧶧	貝日日
𧶨	貝日灬
𧶫	貝龶𧘇
𧶮	貝囗古
𧶲	貝山而
𧶵	貝千臼
𧶵	貝干臼
𧶷	正龶貝
𧶸	貝⺊貝
𧶹	貝貝几
𧶾	貝⺷大
𧶿	貝其乚
𧷂	貝禾火
𧷄	車又貝
𧷋	覀女貝
𧷍	米夊貝
𧷖	來力貝
𧷙	臣殳貝
𧷠	虎彡貝
𧷢	貝戊臣
𧷥	足殳貝
𧷰	貝日貝
𧷳	貝田糸
𧷴	亻咼貝
𧷶	貝⺷古
𧷻	貝龷貝
𧸀	貝而而
𧸊	貝世貝
𧸌	貝立里
𧸏	貝罒貝
𧸬	千黑貝
𧹂	虎虎貝
𧹓	贝口壬
𧹓	贝口王
𧹕	贝尸古
𧺐	走了一
𧺓	走⺈丶
𧺕	走勹丶
𧺖	走一了
𧺟	走冖儿
𧺡	走一巾
𧺣	走人人
𧺤	走勹九
𧺦	走一幺
𧺧	走卄一
𧺫	走尸乀
𧺬	走冂入
𧺭	走八厶
𧺮	走八刀
𧺯	走⺀十
𧺰	走一夕
𧺲	走匕匕
𧺳	走一彑
𧺴	走𠂉十
𧺶	走木丶
𧺷	走土厶
𧺸	走冂口
𧺹	走匚コ
𧺻	走亠幺
𧺼	走止匕
𧺽	走尸コ
𧺾	走丷𰀁
𧻀	走厂干
𧻁	走斤一
𧻄	走丶王
𧻅	力口走
𧻆	走九彡
𧻈	走干丷
𧻌	走勹夕
𧻍	走口八
𧻎	走巳七
𧻏	走夕卜
𧻐	走文寸
𧻑	走大弓
𧻓	走䒑廾
𧻔	走匚王
𧻕	走木冂
𧻗	走戊一
𧻘	走丰刀
𧻙	走丆日
𧻛	走勹日
𧻞	走乃木
𧻟	走氵亍
𧻡	走尸土
𧻢	走囗口
𧻤	走人王
𧻤	走入王
𧻥	走彳亍
𧻦	走⺈水
𧻧	走广干
𧻩	走耂匕
𧻪	走戈𠂇
𧻫	走彐彐
𧻭	走电丿
𧻮	走𰃦夊
𧻰	走⺧口
𧻳	走不口
𧻴	走丶艮
𧻸	走扌斤
𧻹	走マ用
𧻺	走犭王
𧻼	走日土
𧻽	走丿虫
𧻾	走且八
𧼁	走文口
𧼃	走犭火
𧼆	走丿糸
𧼇	走⺈水
𧼈	走耳乚
𧼍	走彐火
𧼎	走大电
𧼐	走囗禾
𧼒	走臣又
𧼓	走木日
𧼖	木木走
𧼙	走豕丶
𧼝	走止𣥂
𧼣	走白巾
𧼤	走至刂
𧼥	走虍人
𧼩	走千里
𧼫	走田⺼
𧼫	走田月
𧼰	走千臼
𧼰	走干臼
𧼴	走山而
𧼷	走白水
𧼺	走日立
𧽀	走目犬
𧽂	走禾日
𧽅	走世木
𧽆	走厂里
𧽎	走爫缶
𧽎	走𱼀缶
𧽐	走虍文
𧽑	走疒矢
𧽒	走自犬
𧽕	走𡗗禾
𧽖	走卯田
𧽘	走辰寸
𧽛	走口貝
𧽟	走小隹
𧽠	走山隹
𧽣	走立早
𧽤	走覀示
𧽨	走爫見
𧽬	走艹甫
𧽭	走土隹
𧽯	走車斤
𧽲	走田糸
𧽼	走覀早
𧽿	走立里
𧾄	走隹辶
𧾕	走目隹
𧾖	走山馬
𧾗	走艹禺
𧾜	走走走
𧾟	走⺮隹
𧿅	足⺄十
𧿅	足乛十
𧿉	足一丂
𧿉	足二㇉
𧿊	足一几
𧿋	足一丩
𧿌	足丿七
𧿎	足乙十
𧿏	足㔾丶
𧿒	足冖儿
𧿕	足亻匕
𧿖	足乂凵
𧿘	足丿廾
𧿙	足一兀
𧿚	足八刀
𧿛	足人人
𧿜	足⺆亠
𧿝	足八丂
𧿟	足一彑
𧿠	足一幺
𧿢	足九力
𧿥	足匕匕
𧿦	足𠂉几
𧿨	足⺁又
𧿨	足厂又
𧿪	足䒑㇉
𧿫	足⺀十
𧿬	足七凵
𧿯	足弓丨
𧿰	足卄一
𧿶	足𠂉也
𧿷	足王丶
𧿸	足尸又
𧿺	足屮凵
𧿻	足尸九
𧿽	足匚口
𧿾	足木一
𧿿	止匕足
𨀀	足人小
𨀁	足尤丿
𨀃	足又土
𨀅	足冂土
𨀇	足弓人
𨀈	足丬匕
𨀉	足宀丁
𨀊	足乃子
𨀋	足亻士
𨀌	足口力
𨀏	足日一
𨀐	足夊⺀
𨀑	夕卜足
𨀒	足𠂇巾
𨀓	足⺈巳
𨀕	足匚王
𨀗	足大ヰ
𨀙	足士口
𨀚	足上小
𨀞	足彐𰀁
𨀠	足广干
𨀡	足𠂇火
𨀢	足冊一
𨀣	足人止
𨀤	足丰八
𨀥	足二欠
𨀥	足冫欠
𨀦	足丰刀
𨀨	足巛夕
𨀮	足厶⺼
𨀮	足厶月
𨀯	足工阝
𨀰	足冫水
𨀱	足龶夊
𨀳	足亻戈
𨀴	足勹日
𨀵	足广土
𨀹	足氵工
𨀻	足戈𠂇
𨀼	足耂匕
𨀽	足口巾
𨀾	足氵女
𨁄	足日干
𨁉	足囗木
𨁎	足口壬
𨁎	足口王
𨁒	足⺧口
𨁗	足壬廴
𨁘	扌止足
𨁜	足扌夫
𨁞	足目匕
𨁡	足爫女
𨁢	丿米足
𨁣	足夊火
𨁤	足广木
𨁥	木土足
𨁦	足王廾
𨁨	足犭王
𨁩	足扌巴
𨁬	足亻申
𨁮	足文口
𨁰	足口欠
𨁱	足尸毛
𨁲	足口巴
𨁴	足门日
𨁸	足戶犬
𨁸	足户犬
𨁹	足火火
𨁾	足止龰
𨁿	足豕丶
𨂀	足阝且
𨂁	足大电
𨂂	足𱼀火
𨂃	足月月
𨂆	足勹缶
𨂇	足戶止
𨂇	足户止
𨂈	足日王
𨂑	足虍人
𨂓	足丑丑
𨂕	足木木
𨂖	足氵立
𨂗	足子瓜
𨂘	足爫壬
𨂝	䒑业足
𨂞	足䒑业
𨂤	足至夊
𨂦	足彑𧰨
𨂧	足土羊
𨂨	足大羊
𨂩	足癶殳
𨂭	足龶母
𨂱	足冖車
𨂵	足千臼
𨂵	足干臼
𨂶	足虍巾
𨂷	足厂里
𨂺	足亦弓
𨂽	足石水
𨂿	足不正
𨃆	足⺼瓜
𨃆	足月瓜
𨃇	足⺷女
𨃋	足䒑巾
𨃍	足穴犬
𨃔	足自木
𨃙	足覀木
𨃚	足艹合
𨃛	足阝辛
𨃝	足彳走
𨃞	舟殳足
𨃟	足舟殳
𨃡	足自心
𨃬	足𠂤辶
𨃱	立立足
𨃸	足立电
𨃽	足辰寸
𨄃	足豕辶
𨄄	足亦心
𨄋	足尸雨
𨄍	足山隹
𨄎	足其土
𨄏	足覀示
𨄗	足广隶
𨄟	土隹足
𨄣	足來夊
𨄤	足小隹
𨄰	足弓長
𨄱	足田糸
𨄳	足艹甫
𨄺	足土隹
𨅀	足米立
𨅁	足⺮立
𨅂	足不見
𨅄	足車欠
𨅍	足門日
𨅏	足山風
𨅑	足彡頁
𨅒	足壴寸
𨅘	壴彡足
𨅝	足尚牙
𨅞	足⺮合
𨅠	金欠足
𨅤	足其月
𨅥	足非心
𨅨	足尚木
𨅭	足覀早
𨅲	足而而
𨅼	足艹來
𨅽	足門木
𨆀	足門月
𨆇	足門甲
𨆉	足尚田
𨆌	足火頁
𨆑	足⺮足
𨆔	足咼辶
𨆜	火頁足
𨆞	足曲辰
𨆢	足雨田
𨆣	足艹禺
𨆦	足⺮貝
𨆧	車至足
𨆬	足足足
𨆵	足皮頁
𨇐	舟頁足
𨇓	亻僉足
𨇢	足麻石
𨇤	足魚羊
𨇪	足隹頁
𨇻	足麻非
𨈔	身几丶
𨈘	身小丿
𨈙	身⺊又
𨈚	身匕匕
𨈛	身十又
𨈜	身冂二
𨈝	身⺆亠
𨈞	身卩又
𨈠	身乂乂
𨈢	身亠几
𨈤	身一兀
𨈦	身人人
𨈧	身弓丨
𨈨	身𠂉几
𨈪	身口八
𨈫	身丶王
𨈬	身斤一
𨈭	身冂土
𨈯	身乃子
𨈱	身日一
𨈳	身勹口
𨈴	身丷口
𨈷	身宀匕
𨈺	身耂匕
𨈼	身女小
𨈽	身䒑大
𨈾	身䒑廾
𨉀	身大ヰ
𨉁	身⺌兀
𨉃	亻壬身
𨉆	身⺈巴
𨉇	身火人
𨉈	身壬廴
𨉍	身白八
𨉑	身口壬
𨉑	身口王
𨉒	身巛火
𨉔	身⺊早
𨉕	身戶犬
𨉕	身户犬
𨉘	身斤辶
𨉚	身大电
𨉛	身口矢
𨉟	身合卩
𨉢	身千里
𨉤	身白王
𨉩	身𡗗日
𨉭	身𠃜目
𨉴	身艹耳
𨉶	身⺶工
𨉻	身車欠
𨉾	身⺮目
𨉿	身而而
𨊈	身覀早
𨊋	身罒貝
𨊐	身咼辶
𨊪	車一厶
𨊬	⺈一車
𨊮	車丂一
𨊯	車丿七
𨊰	車𠂉乙
𨊱	車一𬺰
𨊵	車勹厶
𨊶	車冖几
𨊷	車勹二
𨊷	車勹冫
𨊻	車一廾
𨊼	車彐丿
𨊽	車八乂
𨊾	車冂乂
𨊿	車又又
𨋁	車卩又
𨋂	車八刀
𨋃	車乃乀
𨋄	車冖儿
𨋅	匕匕車
𨋆	車一彑
𨋇	車一幺
𨋊	車勹𰀪
𨋌	車又又
𨋍	車厶儿
𨋎	車⺈小
𨋏	車人小
𨋑	工几車
𨋒	車厶廾
𨋔	車王丶
𨋗	車尸匕
𨋚	車尸又
𨋛	車九力
𨋛	車尢力
𨋝	車工力
𨋞	車𠂇巾
𨋠	車宀儿
𨋠	車宀几
𨋡	屮凵車
𨋤	車⺊尸
𨋩	車亻犬
𨋪	車夊ヰ
𨋭	車⺈巴
𨋮	車勹日
𨋯	車电丿
𨋰	車二欠
𨋰	車冫欠
𨋲	車冫水
𨋳	車囗大
𨋴	車宀女
𨋵	車木冂
𨋶	車亻王
𨋷	車工工
𨋸	車夫丷
𨋻	車爫又
𨋾	車习习
𨌁	車匕日
𨌂	車山王
𨌃	車犭王
𨌄	爿士車
𨌉	車口⺼
𨌉	車口月
𨌋	車戶口
𨌋	車户口
𨌏	𰀁戈車
𨌐	車龶夊
𨌒	車⺧口
𨌓	車白八
𨌖	車夊月
𨌚	車宀牛
𨌛	車木口
𨌟	車广木
𨌠	車彐水
𨌠	車彑水
𨌥	王車王
𨌧	車大电
𨌨	車勹缶
𨌬	車⺊早
𨌭	車水日
𨌳	車止⺼
𨌳	車止月
𨌵	車宀且
𨌶	車亡目
𨌹	車火火
𨌽	車牛牛
𨌾	牛牛車
𨌿	車木日
𨍀	車至刂
𨍆	車日日
𨍊	車禾火
𨍑	車立日
𨍓	車人車
𨍕	車世木
𨍙	車亻車
𨍛	車龶母
𨍜	車其乚
𨍣	車䒑自
𨍥	車而女
𨍦	車米女
𨍧	車白王
𨍨	車䒑𧰨
𨍫	車覀木
𨍭	車甫寸
𨍲	車囗豕
𨍳	車爫缶
𨍳	車𱼀缶
𨍷	車艹耳
𨍸	車卯田
𨎂	車辰口
𨎋	車尚土
𨎍	車广隶
𨎑	夫車車
𨎓	車牛車
𨎕	車戊合
𨎖	尚土車
𨎘	車爫貝
𨎚	車米田
𨎧	車壴彡
𨎪	車而而
𨎫	車門月
𨎴	車尚田
𨎶	車虍豕
𨎿	車雨田
𨏅	車亦貝
𨏎	車魚亍
𨏗	車魚日
𨏚	車合革
𨏦	車門隹
𨏩	𣎆車辶
𨏻	車尚黑
𨐆	车一廾
𨐇	车尤丿
𨐈	车⺌兀
𨐐	立𢆉乚
𨐑	辛厶儿
𨐓	刀口辛
𨐔	夕夕辛
𨐕	彐彐辛
𨐖	乂木辛
𨐙	戶口辛
𨐙	户口辛
𨐛	尸水辛
𨐞	女古辛
𨐡	辛艹古
𨐫	尸言辛
𨐮	辛艹亥
𨐱	辛⺼辛
𨐱	辛月辛
𨐺	辛曲辰
𨑆	屮屮辰
𨑉	辰虫土
𨑎	乛亅辶
𨑐	⺄⺄辶
𨑔	彡龰巳
𨑘	十乚辶
𨑙	几丶辶
𨑞	丿七辶
𨑟	人乚辶
𨑡	彡龰土
𨑣	ユ人辶
𨑤	十又辶
𨑥	勹𰀪辶
𨑧	冂人辶
𨑧	冂入辶
𨑩	弓丨辶
𨑪	八厶辶
𨑬	卄一辶
𨑮	亻十辶
𨑰	一夕辶
𨑱	又又辶
𨑵	上乙辶
𨑶	𠂉⺊辶
𨑷	八十辶
𨑹	人人辶
𨑻	冖儿辶
𨑼	一幺辶
𨑽	⺄𰀁辶
𨑿	十凵辶
𨒀	刀刀辶
𨒁	几几辶
𨒂	丿止辶
𨒃	丷𰀁辶
𨒄	八口辶
𨒅	口八辶
𨒆	宀几辶
𨒈	尸二辶
𨒊	囗人辶
𨒋	戈乚辶
𨒍	十廾辶
𨒎	匚二辶
𨒏	大丷辶
𨒐	𠂇口辶
𨒑	匚コ辶
𨒓	子卜辶
𨒕	亻寸辶
𨒛	人小辶
𨒜	心丿辶
𨒝	コ巾辶
𨒝	ユ巾辶
𨒞	屮凵辶
𨒟	夊⺀辶
𨒡	勹口辶
𨒣	𠂉子辶
𨒤	止匕辶
𨒥	幺夊辶
𨒧	电丿辶
𨒪	木冂辶
𨒭	𠂇火辶
𨒮	二欠辶
𨒮	冫欠辶
𨒰	巛子辶
𨒱	龷八辶
𨒲	牛八辶
𨒶	⺈巴辶
𨒹	丆日辶
𨒺	⺌兀辶
𨒻	文寸辶
𨒼	彡龰艮
𨒽	屮屮辶
𨒾	䒑巾辶
𨓀	广千辶
𨓁	幺幺辶
𨓃	丂灬辶
𨓅	白儿辶
𨓆	日夕辶
𨓊	耳乚辶
𨓌	巛火辶
𨓍	广龵辶
𨓎	水子辶
𨓏	山王辶
𨓒	山壬辶
𨓓	扌方辶
𨓗	⺊目辶
𨓘	⺊冊辶
𨓙	日廾辶
𨓛	匕用辶
𨓡	王廾辶
𨓢	斤辶兀
𨓣	木寸辶
𨓤	日夊辶
𨓥	マ田辶
𨓧	夊止辶
𨓨	⺈用辶
𨓩	广火辶
𨓪	尸水辶
𨓬	水日辶
𨓭	耳又辶
𨓮	爫壬辶
𨓳	木日辶
𨓸	木用辶
𨓻	彐水辶
𨓽	龶月辶
𨔀	止龰辶
𨔅	爪毛辶
𨔉	文丰辶
𨔌	子瓜辶
𨔐	𡗗𰀁辶
𨔑	止⺼辶
𨔑	止月辶
𨔓	矢口辶
𨔔	夊罒辶
𨔘	龷木辶
𨔙	大石辶
𨔚	丑丑辶
𨔝	千里辶
𨔡	彐𧰨辶
𨔢	屮虫辶
𨔨	千臼辶
𨔨	干臼辶
𨔪	勹車辶
𨔯	日水辶
𨔰	覀廾辶
𨔵	彑𧰨辶
𨔶	大羊辶
𨔾	耂日辶
𨔿	豕十辶
𨕀	气矢辶
𨕁	广米辶
𨕄	尸米辶
𨕅	西土辶
𨕅	覀土辶
𨕆	正月辶
𨕌	𡗗日辶
𨕍	走卜辶
𨕏	大西辶
𨕐	止目辶
𨕑	虍巾辶
𨕒	日正辶
𨕝	扌甫辶
𨕡	艹早辶
𨕫	示申辶
𨕭	上車辶
𨕯	辰寸辶
𨕳	舟尤辶
𨕴	舟殳辶
𨕵	𠂤殳辶
𨕺	大言辶
𨕻	日艮辶
𨕾	疒矢辶
𨖆	虍且辶
𨖈	𱼀言辶
𨖊	龶貝辶
𨖐	业羊辶
𨖒	木貝辶
𨖝	雨巛辶
𨖟	身夊辶
𨖡	爫豕辶
𨖫	土隹辶
𨖬	⺮生辶
𨖵	隹灬辶
𨖹	至至辶
𨖺	⺮而辶
𨖾	糹糸辶
𨗉	穴豕辶
𨗒	雨壬辶
𨗗	衤甫辶
𨗲	艹咼辶
𨗴	罒隹辶
𨗷	木咼辶
𨗹	⺮豕辶
𨗻	罒非辶
𨗿	豸艮辶
𨘀	王頁辶
𨘌	示咼辶
𨘍	雨艮辶
𨘔	言言辶
𨘰	亠僉辶
𨘷	豸頁辶
𨘾	雨隹辶
𨙮	几丶阝
𨙱	一丂阝
𨙲	丿七阝
𨙳	又丶阝
𨙴	𬺰丿阝
𨙶	一巾阝
𨙸	十又阝
𨙹	小丿阝
𨙻	冂二阝
𨙿	𠂇厶阝
𨚁	匚儿阝
𨚂	八几阝
𨚃	亠丩阝
𨚅	八乂阝
𨚊	火口巴
𨚋	口巴灬
𨚌	一夕阝
𨚍	匕匕阝
𨚎	一彑阝
𨚏	一幺阝
𨚐	人儿阝
𨚔	勹巳阝
𨚕	厶廾阝
𨚖	止匕阝
𨚗	冂土阝
𨚙	口丂阝
𨚜	䒑𠂇阝
𨚝	王丶阝
𨚞	𠂇口阝
𨚟	夊⺀阝
𨚢	廾亠阝
𨚦	凵𰀁阝
𨚧	力口阝
𨚨	又口阝
𨚩	丁口阝
𨚫	土厶阝
𨚳	亡川阝
𨚴	女口阝
𨚶	𠂉ヰ阝
𨚷	夕口阝
𨚿	冊一阝
𨛀	壬厶阝
𨛂	火又阝
𨛃	彐彐阝
𨛄	コ丑阝
𨛅	夕夕阝
𨛈	人王阝
𨛈	入王阝
𨛉	⺈巴阝
𨛊	犭大阝
𨛌	亡木阝
𨛍	⺌⺼阝
𨛍	⺌月阝
𨛎	日干阝
𨛑	己心阝
𨛒	止𣥂阝
𨛓	王廾阝
𨛔	不口阝
𨛖	⺊冊阝
𨛗	口巴阝
𨛛	豕口巴
𨛞	𰀄𫶧阝
𨛟	屮丰阝
𨛡	口⺼阝
𨛡	口月阝
𨛢	木口阝
𨛥	⺈用阝
𨛨	耂子阝
𨛬	非口巴
𨛭	人舌阝
𨛮	尸古阝
𨛯	宀且阝
𨛱	宀示阝
𨛲	禾千阝
𨛳	龷日阝
𨛸	虎口巴
𨛻	禾干阝
𨜂	尚口巴
𨜇	且巛阝
𨜈	丑丑阝
𨜋	山古阝
𨜍	日木阝
𨜐	田心阝
𨜑	目木阝
𨜓	⺊貝阝
𨜔	白王阝
𨜘	尸至阝
𨜟	丷酉阝
𨜩	白水阝
𨜭	匕貝阝
𨜰	⺷女阝
𨜵	日皿阝
𨜻	虍文阝
𨜼	覀木阝
𨝉	巛貝阝
𨝎	广隶阝
𨝓	覀示阝
𨝕	⺷皿阝
𨝭	冫馬阝
𨝯	立里阝
𨝱	隹灬阝
𨝸	覀早阝
𨝹	虍业阝
𨞂	卝隹阝
𨞂	艹隹阝
𨞙	虍豕阝
𨞝	覀貝阝
𨞲	龵馬阝
𨞻	鹿灬阝
𨟂	艹魚阝
𨟇	魚日阝
𨟓	雨隹阝
𨟖	麻石阝
𨟜	鹵早阝
𨟱	酉几丶
𨟳	酉丶乂
𨟴	酉勹二
𨟴	酉勹冫
𨟵	酉匕匕
𨟸	酉勹𰀪
𨟼	酉亠几
𨟿	酉乂乂
𨠀	酉一幺
𨠁	酉冖几
𨠂	酉一彑
𨠃	酉⺊又
𨠈	酉又又
𨠌	酉夊⺀
𨠍	酉亻弋
𨠐	酉止匕
𨠑	酉𠂉也
𨠒	厶大酉
𨠔	酉心丿
𨠕	酉丶水
𨠖	酉勹巳
𨠗	酉冂大
𨠙	酉不一
𨠚	酉日一
𨠟	酉干丷
𨠡	酉尸又
𨠢	厶廾酉
𨠤	酉戈𠂇
𨠩	酉⺍川
𨠫	丷酉尤
𨠬	酉耂匕
𨠯	酉文凵
𨠰	亻戈酉
𨠲	酉亻壬
𨠵	酉⺌兀
𨠶	酉⺈巴
𨠹	酉大木
𨠼	酉宀木
𨠽	酉戊㇆
𨠾	𰀁戈酉
𨡀	酉⺌⺼
𨡀	酉⺌月
𨡃	酉夊丰
𨡅	酉米乚
𨡇	酉コ皿
𨡈	酉爿士
𨡋	酉木口
𨡌	酉禾女
𨡍	酉水日
𨡓	爿𱼀酉
𨡗	酉穴弓
𨡝	酉士皿
𨡟	酉田廾
𨡧	酉爿犬
𨡩	酉癶殳
𨡫	酉冖車
𨡬	酉水皿
𨡰	爿酉皿
𨡱	酉艹古
𨡲	酉禾火
𨡴	酉丷酉
𨡷	古⺼酉
𨡷	古月酉
𨡹	酉白水
𨡾	酉田心
𨢇	酉卯田
𨢖	酉幺貝
𨢚	⺶工酉
𨢜	酉冖隹
𨢝	酉爫臼
𨢟	酉艹亥
𨢣	酉匕頁
𨢦	酉龶貝
𨢧	酉穴缶
𨢴	酉合皿
𨢸	酉⺷皿
𨢻	酉目艮
𨢾	酉而而
𨣇	酉門月
𨣉	酉門日
𨣏	酉⺮合
𨣐	隹火酉
𨣒	酉立里
𨣴	酉麻手
𨣺	酉魚禾
𨣻	女僉酉
𨣽	酉麻示
𨣿	酉鹿米
𨤏	工丿米
𨤢	小丿里
𨤣	⺈一里
𨤣	勹一里
𨤥	口一里
𨤦	口凵里
𨤧	里⺈小
𨤩	心丿里
𨤪	山大里
𨤮	里火火
𨥃	金八一
𨥅	金𠂇乀
𨥆	金⺈丶
𨥍	金乂凵
𨥎	金人人
𨥏	八乂金
𨥐	金亻九
𨥒	勹二金
𨥓	七刀金
𨥔	金七刀
𨥕	金二厶
𨥖	金又又
𨥚	金一巾
𨥛	金一彑
𨥞	金人十
𨥟	金八丂
𨥠	金彐丿
𨥡	金厶几
𨥢	又凵金
𨥣	厶凵金
𨥧	金丿之
𨥨	金予丿
𨥬	女又金
𨥭	金丶水
𨥰	金𠂇口
𨥱	金囗人
𨥲	工几金
𨥶	金亻弋
𨥹	金⺈巳
𨥺	金弓厶
𨥼	金木乚
𨥽	金冂口
𨥾	金干丷
𨥿	金工丂
𨦀	金口丩
𨦁	金亻士
𨦂	金示乚
𨦃	金乃木
𨦅	金乂木
𨦆	金日匕
𨦇	金夫丷
𨦉	金木冂
𨦊	金王匕
𨦎	金龶夊
𨦑	金匚王
𨦔	女口金
𨦗	金𠂇火
𨦘	金大弓
𨦚	金口大
𨦛	金亻犬
𨦜	金爫丂
𨦝	金爫刀
𨦟	金夊ヰ
𨦠	二欠金
𨦠	冫欠金
𨦢	金日人
𨦥	金氵也
𨦧	金𠂉ヰ
𨦩	金亡女
𨦫	金习习
𨦬	金扌斤
𨦭	金宀牛
𨦯	金彳殳
𨦶	金扌夫
𨦺	金口巴
𨦻	金田力
𨦽	金文口
𨧀	金木土
𨧃	金木口
𨧄	金匚甲
𨧅	金士𠃜
𨧆	金不口
𨧉	金日女
𨧋	𠂎夊金
𨧏	金目匕
𨧑	金爫工
𨧒	戶巳金
𨧒	户巳金
𨧖	金广木
𨧗	金方彡
𨧚	金厶矢
𨧛	金小夭
𨧜	金丰阝
𨧠	金⺼干
𨧠	金月干
𨧦	阝皮金
𨧧	金豕丶
𨧩	金宀石
𨧭	禾士金
𨧹	金日月
𨧺	金禾彐
𨧽	示土金
𨧿	火火金
𨨀	金穴工
𨨁	金穴土
𨨂	金肀月
𨨃	金子且
𨨋	金日火
𨨌	金日壬
𨨍	金虍乃
𨨏	金氵皮
𨨑	禾口金
𨨓	金女未
𨨔	金戶⺼
𨨔	金户月
𨨖	王王金
𨨗	木木金
𨨘	金臣又
𨨛	金禾口
𨨝	金人舌
𨨠	金勹米
𨨢	金火欠
𨨦	金木夊
𨨧	金立女
𨨨	金彳正
𨨫	金爫木
𨨰	金而大
𨨱	金氵舌
𨨳	金夊缶
𨨷	金穴犬
𨨸	金亡虫
𨨹	金大耳
𨨻	金癶殳
𨩂	禾殳金
𨩃	金𡗗日
𨩄	金日立
𨩊	金丷酉
𨩋	金田⺼
𨩋	金田月
𨩌	金亦大
𨩍	金⺷女
𨩐	金米女
𨩕	車又金
𨩘	金虍子
𨩛	金日生
𨩝	金虍彐
𨩞	金虍ヰ
𨩢	金龵目
𨩪	金山虫
𨩴	金穴牙
𨩽	金虍𰀄
𨪁	金覀女
𨪂	金䒑𧰨
𨪄	土向金
𨪅	金皮毛
𨪉	金⺁虎
𨪏	金疒矢
𨪚	金車干
𨪝	金虍文
𨪦	金𡗗禾
𨪨	金虍牛
𨪫	金水臼
𨪫	金水𦥑
𨪱	正正金
𨪳	金而火
𨪽	金自王
𨫃	金宀辛
𨫊	金覀木
𨫋	金工貝
𨫐	金穴至
𨫒	金尸雨
𨫠	金小隹
𨫫	金匕頁
𨫸	金合皿
𨫻	金扌隹
𨫽	金艹辛
𨬉	金土隹
𨬔	金門王
𨬗	金彡頁
𨬟	金古辛
𨬣	金⺶目
𨬰	金工頁
𨬲	金虍羊
𨬳	金虎手
𨬶	金艹隹
𨬸	金罒豕
𨭃	金尚牙
𨭌	金壴彡
𨭍	金非心
𨭎	金壴口
𨭔	糹糸金
𨭠	金革斤
𨭫	金面辶
𨭬	金艹禺
𨭷	金几鳥
𨮀	金隹石
𨮇	金艹風
𨮌	金予頁
𨮕	金𠁁斤
