×	乂
𤕏	八乂山
𤕜	乂一乂
𤕱	爿コ又
𤕴	爿𠂉也
𤕸	爿广土
𤕹	爿木冂
𤕺	一爿矢
𤕼	爿𠂉矢
𤕽	爿丿米
𤖀	爿夊丰
𤖁	爿卝干
𤖂	爿木口
𤖅	爿𱼀水
𤖆	爿戈戈
𤖇	爿日木
𤖉	爿禾彐
𤖋	爿匚臣
𤖎	爿目片
𤖏	爿疒矢
𤖑	爿广甫
𤖓	爿龶貝
𤖔	爿戊臣
𤖕	爿𱼀酉
𤖙	爿酉皿
𤖫	片几丶
𤖭	片八刀
𤖮	片勹厶
𤖰	片コ又
𤖳	片干丷
𤖴	片斤丶
𤖵	片勹口
𤖸	片丶王
𤖻	片夕夕
𤗀	片丶艮
𤗆	片𠂉母
𤗇	片穴工
𤗈	片立女
𤗌	片夊田
𤗎	片大电
𤗏	片立口
𤗐	片户方
𤗔	立𰀁片
𤗖	片子皿
𤗗	片木日
𤗝	片臼人
𤗟	立朩片
𤗡	耂日片
𤗢	片⺁虎
𤗤	片工貝
𤗮	片龶貝
𤗯	片山隹
𤗱	片日甫
𤗾	片尚田
𤘇	牙⺊口
𤘛	牛丿七
𤘝	八刀牛
𤘟	牛冂二
𤘠	牛一大
𤘣	牛冖儿
𤘤	匕匕牛
𤘥	牛匕匕
𤘩	又又牛
𤘪	牛⺆亠
𤘫	牛七凵
𤘰	冖儿牛
𤘳	牛一幺
𤘴	牛⺊又
𤘷	牛几几
𤘸	牛屮又
𤘹	牛不一
𤘺	牛宀几
𤘼	牛冂土
𤘽	牛勹口
𤘾	牛干丷
𤘿	丬匕牛
𤙁	牛人彡
𤙃	牛木一
𤙄	力口牛
𤙅	牛ナ巾
𤙈	牛丿夫
𤙌	牛尸匕
𤙍	牛屮几
𤙏	土厶牛
𤙐	牛上卜
𤙑	牛夊口
𤙗	牛弓弓
𤙘	丩夊牛
𤙚	牛𠂉毛
𤙜	牛⺌月
𤙝	牛口巴
𤙟	衤刀牛
𤙢	牛卝干
𤙤	牛爫子
𤙥	牛古儿
𤙨	牛木口
𤙩	牛𠂉母
𤙱	牛人舌
𤙳	牛夊田
𤙴	牛⺊早
𤙷	牛宀示
𤚀	牛爫木
𤚄	牛丑丑
𤚆	牛阝皮
𤚇	牛⺷又
𤚉	耳又牛
𤚏	牛千里
𤚐	牛艹田
𤚑	牛身寸
𤚕	牛西土
𤚖	牛⺷女
𤚘	牛西女
𤚚	牛龶母
𤚝	牛白王
𤚤	牛𠃜目
𤚦	牛古木
𤚨	牛辰又
𤚩	牛𡗗禾
𤚭	牛爫缶
𤚯	牛自犬
𤚳	牛虍文
𤚻	牛牛合
𤚽	牛甫寸
𤚾	牛辰寸
𤛀	牛貝寸
𤛁	牛日皿
𤛄	牛文耳
𤛈	合牛牛
𤛋	牛尚土
𤛍	牛山隹
𤛏	牛虍且
𤛕	牛車牛
𤛚	牛牛豕
𤛬	牛罒貝
𤛲	牛山鬼
𤛶	牛艹禺
𤜅	牛雨隹
𤜋	牛鬼言
𤜘	麻鬼牛
𤜛	犭乙乚
𤜢	犭乙十
𤜤	犭丿七
𤜥	犭丶乂
𤜦	犭几丶
𤜨	犭丿七
𤜩	犭勹丿
𤜫	犭又丶
𤜯	犭乃乀
𤜲	一巾犬
𤜳	犭一巾
𤜴	犭冖儿
𤜵	犭一廾
𤜷	犭一彑
𤜸	犭厂㔾
𤜺	犭丿止
𤜻	犭匕匕
𤜼	犭勹冫
𤜽	犭冂人
𤜾	犭乙𰀁
𤜿	犭乙屮
𤝁	犭大丶
𤝃	犭一幺
𤝅	犭八厶
𤝇	犭夊丶
𤝊	犭九十
𤝌	犭一兀
𤝏	犭厶廾
𤝐	犭口丂
𤝑	犭丿之
𤝒	犭屮凵
𤝓	犭⺊口
𤝔	犭亻寸
𤝖	犭口八
𤝙	犭匚コ
𤝛	犭宀匕
𤝝	犭人小
𤝞	犭木丶
𤝠	犭弓丨
𤝢	犭又𰀁
𤝣	犭丶水
𤝤	犭户乙
𤝥	犭夊卜
𤝨	犭宀九
𤝩	犭予丿
𤝫	犭冂土
𤝭	犭止匕
𤝯	犭亻犬
𤝱	犭囗大
𤝴	犭䒑廾
𤝷	犭夊㐄
𤝹	犭牛八
𤝺	犭尸工
𤝻	犭夕夕
𤝽	犭彐𰀁
𤝾	犭巛山
𤝿	犭匚王
𤞃	犭山夕
𤞆	犭𠂉斤
𤞇	犭土土
𤞉	犭戊丶
𤞍	犭肀凵
𤞎	犭又木
𤞑	犭囗口
𤞒	犭龷八
𤞓	犭⺧儿
𤞔	犭弋工
𤞖	犭丰八
𤞗	犭亻牛
𤞘	犭亻壬
𤞙	犭爫寸
𤞚	犭⺌月
𤞛	爿士犬
𤞜	犭不口
𤞠	犭乂朩
𤞡	犭牙阝
𤞢	犭卝干
𤞣	口月犬
𤞥	犭口木
𤞦	犭𠂉母
𤞧	犭囗木
𤞩	犭且力
𤞫	犭戈廾
𤞬	犭王廾
𤞮	穴乂犬
𤞲	犭爫子
𤞴	犭⺈用
𤞷	木土犬
𤞺	犭⺧口
𤞼	犭文口
𤞽	犭艹亡
𤞾	犭日工
𤞿	犭干犬
𤟀	白七犬
𤟂	犭亡月
𤟄	犭穴工
𤟅	犭⺈臼
𤟇	犭火火
𤟈	犭木日
𤟌	爿𱼀犬
𤟑	犭户犬
𤟒	爿夕犬
𤟖	犭爫木
𤟘	犭彐水
𤟙	𱼀火犬
𤟚	犭臼又
𤟜	虍口犬
𤟝	犭虍巾
𤟟	犭立日
𤟡	犭白王
𤟤	犭冖車
𤟦	犭而大
𤟧	犭田心
𤟩	口虫犬
𤟪	犭穴犬
𤟮	山而犬
𤟲	犭⺷女
𤟴	犬冖車
𤟵	户目犬
𤟷	犭不正
𤟸	犭申夊
𤟼	犭勹言
𤠁	犭䒑自
𤠅	犭不皿
𤠈	犭臼廾
𤠋	犭米女
𤠍	犭舟殳
𤠑	犭卯田
𤠒	犭𠂤犬
𤠔	犭口貝
𤠚	犭龶糸
𤠝	犭⺶工
𤠟	犭艹合
𤠢	口虫犬
𤠫	犭西木
𤠭	犭身寸
𤠳	犭走己
𤡂	犭田糸
𤡄	犭車夊
𤡋	犭車欠
𤡏	犭镸夊
𤡑	犭西示
𤡒	犭里予
𤡖	犭言辶
𤡝	犭非土
𤡠	犭日辰
𤡣	犭虍业
𤡤	犭而而
𤡥	犭門月
𤡦	犭門木
𤡨	犭糹糸
𤡭	犭壴彡
𤡵	户隹犬
𤡹	犭馬十
𤡿	⺮合犬
𤢀	犭壴口
𤢂	犭西米
𤢄	犭尚夊
𤢎	犭尚田
𤢓	犭虍豕
𤢗	犭雨田
𤢥	犭艹禺
𤢨	犭艹高
𤢲	犭金艮
𤢾	犭僉刂
𤣃	犭魚日
𤣄	犭鹿灬
𤣅	雨隹犬
𤣏	虍魚犬
𤣞	犭尚黑
𤣬	九王丶
𤣭	王乙十
𤣮	王𠂉乙
𤣯	王丿七
𤣲	王乙十
𤣵	王丿厶
𤣶	王丶山
𤣸	王ナ乀
𤣹	王彐丿
𤣻	王勹又
𤣽	王冂二
𤣾	王ナ厶
𤣿	王一廾
𤤀	王七凵
𤤃	王丨三
𤤅	王勹𰀪
𤤇	王一大
𤤈	王一幺
𤤉	王小丿
𤤊	王刀刀
𤤋	夭王丶
𤤌	王冖几
𤤍	王匚儿
𤤐	王斤丶
𤤑	王工卩
𤤓	王凵𰀁
𤤕	王亻寸
𤤗	王尸匕
𤤘	丬匕王
𤤙	王丶世
𤤚	王冖巾
𤤛	王丶王
𤤜	王耂乙
𤤞	王一尤
𤤠	王冂大
𤤡	王冂䒑
𤤢	王冂女
𤤣	王千又
𤤥	王丿夫
𤤨	王囗コ
𤤩	王𠂉也
𤤫	王夕卜
𤤬	王幺力
𤤭	王口乂
𤤮	王夊⺀
𤤯	王丶水
𤤰	王ナ巾
𤤲	王工几
𤤵	王⺁丰
𤤸	王几木
𤤹	王木冂
𤤺	王电丿
𤤻	王刀王
𤤼	王巛山
𤤾	王氵亍
𤤿	王丆日
𤥀	王夕夕
𤥁	王夕口
𤥃	王宀女
𤥅	王⺍川
𤥈	王尸巾
𤥉	王艹力
𤥌	王夕阝
𤥎	王火又
𤥐	王士口
𤥑	王亡女
𤥓	合王丶
𤥚	王日干
𤥛	王目匕
𤥝	王耂子
𤥞	王彳殳
𤥢	王牛口
𤥣	王古儿
𤥤	王冖木
𤥧	王耂工
𤥬	王夊彡
𤥯	王口木
𤥰	王白儿
𤥳	王囗木
𤥴	王士心
𤥾	王户木
𤦃	來王丶
𤦄	王巛电
𤦆	王⺈臼
𤦉	日日王
𤦊	王水日
𤦋	王禾彐
𤦌	王宀且
𤦕	王子皿
𤦖	王王毛
𤦗	王王水
𤦘	王龷日
𤦜	王人舌
𤦝	王白巾
𤦞	王𠂤十
𤦣	王虍人
𤦤	王臼儿
𤦧	王艹之
𤦪	王木日
𤦭	王龶月
𤦰	王夊糸
𤦳	王勹車
𤦹	王⺊貝
𤧁	王尸米
𤧄	王西女
𤧇	王木目
𤧋	王而女
𤧏	王爫正
𤧐	王禾火
𤧕	王西土
𤧘	王禾日
𤧙	王臼人
𤧞	王⺷大
𤧫	王𠂤辶
𤧵	王甫寸
𤧿	王文而
𤨄	王龶糸
𤨇	王虍手
𤨎	王宀豕
𤨏	王巛貝
𤨑	王艹合
𤨕	王革力
𤨘	王文辛
𤨠	王尚土
𤨧	王西示
𤨩	王⺶丑
𤨳	王艹甫
𤨴	王田糸
𤩎	王門日
𤩐	王其斤
𤩒	王其木
𤩔	王立里
𤩗	王西米
𤩟	王王門
𤩠	王壴口
𤩫	王山鬼
𤪈	镸缶王
𤪌	王其糸
𤪠	王千黑
𤪯	王黑土
𤪸	王尚貝
𤫅	王臼鬼
𤫪	丿七瓜
𤫫	八刀瓜
𤫭	瓜七凵
𤫯	冖儿瓜
𤫱	勹口瓜
𤫳	瓜厶口
𤫶	士口瓜
𤫷	木冂瓜
𤫺	瓜丿糸
𤫻	止𣥂瓜
𤫾	瓜⺌月
𤬁	日木瓜
𤬃	立口瓜
𤬆	日日瓜
𤬇	爫糸瓜
𤬊	瓜户冊
𤬌	彑𧰨瓜
𤬍	爫缶瓜
𤬑	瓜瓜瓜
𤬒	瓜日皿
𤬔	瓜爫缶
𤬙	瓜木咼
𤬨	瓦几丶
𤬫	瓦乙十
𤬮	一幺瓦
𤬱	瓦勹𰀪
𤬲	瓦冂人
𤬳	工几瓦
𤬴	尸コ瓦
𤬷	屮凵瓦
𤬺	冂大瓦
𤬼	屮凵瓦
𤬽	宀几瓦
𤬾	几木瓦
𤬿	土土瓦
𤭄	冂王瓦
𤭅	瓦䒑廾
𤭉	亡川瓦
𤭊	氵工瓦
𤭋	囗干瓦
𤭍	瓦白八
𤭐	𠂉母瓦
𤭗	耳乚瓦
𤭘	丿臣瓦
𤭚	瓦⺧口
𤭟	𠂤十瓦
𤭠	臣又瓦
𤭡	耳又瓦
𤭪	木目瓦
𤭬	缶工瓦
𤭮	千里瓦
𤭯	瓦白水
𤭰	火禾瓦
𤭱	古月瓦
𤭴	世木瓦
𤭵	瓦立日
𤭺	罒正瓦
𤭾	西王瓦
𤮁	而火瓦
𤮆	虍业瓦
𤮈	車殳瓦
𤮉	田糸瓦
𤮊	广隶瓦
𤮑	瓦非心
𤮓	其斤瓦
𤮚	雨田瓦
𤮞	山鬼瓦
𤮟	瓦土鬼
𤮻	干卄二
𤮼	弋卄二
𤮽	卄二干
𤮾	兀卄二
𤮿	卄二兀
𤯀	卄二干
𤯂	卄二犬
𤯃	木卄二
𤯅	卄二正
𤯆	卄二言
𤯌	麻卄二
𤯖	乚人生
𤯘	生⺀十
𤯙	生十又
𤯜	生力力
𤯞	生⺆亠
𤯠	囗大生
𤯡	生木冂
𤯥	女口生
𤯦	衤刀生
𤯨	生王廾
𤯩	王廾生
𤯪	生禾乃
𤯭	䒑业生
𤯹	⺷𧰨生
𤰇	龷丿用
𤰈	卝勹用
𤰊	西女用
𤰌	用用用
𤰞	田丨十
𤰢	田𠂉乙
𤰤	田一𬺰
𤰦	田丿七
𤰪	田八刀
𤰫	屮一田
𤰬	田小丿
𤰮	田ユ人
𤰯	田儿又
𤰳	一大田
𤰴	由一𬼖
𤰶	日日丨
𤰸	亠厶田
𤰿	田勹𰀪
𤱀	田八乂
𤱂	田二厶
𤱅	田冂人
𤱆	田冂又
𤱇	八乂田
𤱈	亠田卜
𤱉	由ユ人
𤱊	厶厶田
𤱋	甲冂二
𤱎	田幺力
𤱏	田𠂉小
𤱐	田乙龰
𤱒	土八田
𤱕	田巳七
𤱙	田木一
𤱝	田入工
𤱞	田夊⺀
𤱟	田屮凵
𤱠	田刀口
𤱡	マ田也
𤱢	甲亻弋
𤱣	冂土甲
𤱤	由宀丁
𤱦	田火儿
𤱧	田几木
𤱨	田龷八
𤱪	彐土田
𤱬	田勹日
𤱭	人文田
𤱮	甶丿𧘇
𤱱	十戈田
𤱲	田土也
𤱳	田⺌兀
𤱵	丷夫田
𤱶	亠田犬
𤱸	厶水田
𤱺	龷八田
𤱽	巛田夫
𤲀	由由丂
𤲅	龷八电
𤲉	田大日
𤲌	王廾田
𤲎	田夭小
𤲏	田穴九
𤲗	臣又田
𤲚	田木日
𤲜	田土𢆉
𤲞	人米田
𤲟	田龶月
𤲤	田⺊早
𤲦	田由丌
𤲧	田牛夊
𤲩	田火火
𤲬	田而大
𤲭	田木田
𤲴	田水田
𤳂	田禾禾
𤳅	甲甲甲
𤳆	田力來
𤳇	來田力
𤳎	田龶貝
𤳜	田而而
𤴕	一乙龰
𤴗	屮彐龰
𤴘	入彐龰
𤴯	疒九丶
𤴱	疒丿七
𤴴	疒丩乚
𤴹	疒一巾
𤴺	疒冖几
𤴿	疒冂二
𤵀	疒匚儿
𤵄	疒ナ厶
𤵅	疒乂凵
𤵆	疒勹厶
𤵇	疒八刀
𤵉	疒大丶
𤵊	疒七凵
𤵋	疒一幺
𤵌	疒小丿
𤵍	疒𠂉十
𤵎	疒𠂉几
𤵏	疒八勹
𤵐	疒勹𰀪
𤵓	疒卩又
𤵔	疒厶儿
𤵕	疒八丂
𤵗	疒ナ巾
𤵘	疒心丿
𤵚	疒𠂉也
𤵛	疒不一
𤵜	疒⺈小
𤵞	疒人土
𤵟	疒屮又
𤵢	疒斤一
𤵣	疒干丷
𤵤	疒巳七
𤵦	疒木乚
𤵧	疒尸又
𤵨	疒彐人
𤵩	疒亻也
𤵪	疒刀口
𤵮	疒丿火
𤵯	疒匕𫶧
𤵰	疒⺈彐
𤵱	疒口力
𤵲	疒人小
𤵳	疒木一
𤵴	疒亻士
𤵶	疒⺊弓
𤵷	疒𠃜又
𤵸	疒夊㐄
𤵹	疒士口
𤵺	疒电丿
𤵽	疒艹乂
𤶁	疒耂匕
𤶂	疒子口
𤶄	疒亻壬
𤶅	疒丨矢
𤶆	疒巛山
𤶇	疒勹日
𤶉	疒申丶
𤶋	疒⺈巴
𤶌	疒火又
𤶍	疒彐彐
𤶎	疒牛八
𤶏	疒⺌兀
𤶑	疒囗大
𤶒	疒力辶
𤶓	疒亠日
𤶔	疒夊小
𤶖	疒爫子
𤶗	疒厶矢
𤶚	疒日土
𤶛	疒口巴
𤶜	疒爿士
𤶞	疒夊丰
𤶡	疒月寸
𤶢	疒冖且
𤶣	疒彳殳
𤶥	疒厂矢
𤶦	疒王廾
𤶧	疒口贝
𤶨	疒目匕
𤶪	疒卝𰀁
𤶫	疒夊朩
𤶬	疒木口
𤶭	疒口木
𤶲	疒口王
𤶳	疒⺧口
𤶶	疒氵王
𤶺	疒口欠
𤶼	疒艹亡
𤶾	疒文口
𤶿	疒日子
𤷀	疒尢王
𤷁	疒不土
𤷂	疒月巴
𤷃	疒戈戈
𤷅	疒臼儿
𤷆	疒木日
𤷈	疒大示
𤷊	疒月尤
𤷌	疒臣又
𤷎	疒𠂤十
𤷏	疒爫壬
𤷐	疒亡目
𤷓	疒斤欠
𤷕	疒爫木
𤷘	疒⺊早
𤷚	疒彐水
𤷟	疒扌立
𤷠	疒木夊
𤷨	疒丑丑
𤷪	疒子皿
𤷬	疒夊生
𤷰	疒𡗗𰀁
𤷲	疒爿木
𤷳	疒山石
𤷵	疒土皮
𤷶	疒龶𧘇
𤷸	疒瓜阝
𤷼	疒木目
𤷿	疒穴犬
𤸁	疒彑𧰨
𤸂	疒而大
𤸄	疒罒水
𤸈	疒丷酉
𤸉	疒䒑𧰨
𤸌	疒人镸
𤸍	疒夊糸
𤸏	疒木示
𤸓	疒至夊
𤸘	疒⺊貝
𤸚	疒龶母
𤸛	疒田心
𤸠	疒艹田
𤸫	疒口貝
𤸭	疒彳走
𤸰	疒亻隹
𤸵	疒甫寸
𤸺	疒亥欠
𤸽	疒米心
𤹁	疒囗豕
𤹂	疒⺷灬
𤹆	疒隹又
𤹖	疒車干
𤹘	疒辰寸
𤹚	疒耳戈
𤹠	疒龶貝
𤹡	疒虍且
𤹨	疒車辶
𤹩	疒大隹
𤹰	疒尚巾
𤹳	麻冫山
𤹴	麻冫女
𤹶	疒雨大
𤹺	疒⺷皿
𤹼	疒虎彡
𤺄	疒立里
𤺊	疒其斤
𤺔	疒世貝
𤺖	疒門文
𤺛	疒門木
𤺞	疒虍业
𤺣	麻冫灬
𤺥	疒⺮合
𤺬	疒壴彡
𤺮	疒户隹
𤺯	疒門心
𤺰	疒金欠
𤺲	疒尚夊
𤺶	疒馬又
𤻁	疒自辛
𤻉	疒亻鳥
𤻌	疒咼辶
𤻕	疒糹隹
𤻪	疒雨而
𤻼	疒魚日
𤼀	疒魚禾
𤼎	疒黑皿
𤼏	疒僉欠
𤼑	麻冫骨
𤼗	疒鹿足
𤼘	疒𣎆羊
𤼧	癶⺊又
𤼪	癶厶廾
𤼫	癶マ兀
𤼬	癶止又
𤼮	癶爫丂
𤼰	癶弓日
𤼱	艹癶夊
𤼲	癶弓夊
𤼵	癶弓矢
𤼹	癶貝夊
𤼺	癶貝殳
𤽄	白丨八
𤽉	白八刀
𤽊	白匕匕
𤽋	白巛一
𤽌	白一巾
𤽎	白二厶
𤽏	白匕匕
𤽐	白⺊又
𤽑	白十又
𤽓	白丄二
𤽔	白小一
𤽕	白丶兀
𤽖	白ナ𰀪
𤽗	白⺊了
𤽘	白大力
𤽚	白口〢
𤽞	丶王白
𤽣	心丿白
𤽤	止匕白
𤽥	白夊口
𤽧	白卌一
𤽫	白大三
𤽯	白丰寸
𤽲	白田力
𤽳	白川日
𤽴	白耂子
𤽶	白尸毛
𤽷	白戊乙
𤽸	白爿士
𤽺	白彐水
𤽻	白大由
𤽽	䒑业白
𤾀	白龶贝
𤾃	白火火
𤾆	白臼儿
𤾇	白臼儿
𤾈	白冖車
𤾎	白白牛
𤾏	白白木
𤾕	立立白
𤾖	白辰寸
𤾚	白自木
𤾛	白西示
𤿈	勹丶皮
𤿉	皮勹丶
𤿋	皮𬺰丿
𤿍	皮一𬺰
𤿎	匕匕皮
𤿏	冂人皮
𤿐	一廾皮
𤿑	八儿皮
𤿒	皮冂人
𤿓	乂乂皮
𤿔	⺆亠皮
𤿕	巳七皮
𤿘	刀口皮
𤿙	止匕皮
𤿜	土厶皮
𤿝	⺊口皮
𤿟	勹日皮
𤿠	士口皮
𤿣	山干皮
𤿥	⺈丑皮
𤿦	皮夕夕
𤿧	日干皮
𤿨	⺌月皮
𤿩	⺧口皮
𤿪	千日皮
𤿬	皮王廾
𤿮	口丑皮
𤿰	王廾皮
𤿲	龶夊皮
𤿳	臣又皮
𤿴	彐水皮
𤿷	⺈臼皮
𤿸	皮龷日
𤿹	土𢆉皮
𤿽	水日皮
𤿿	丑丑皮
𥀀	土羊皮
𥀁	耂日皮
𥀈	千臼皮
𥀓	卯田皮
𥀞	⺶丑皮
𥀫	雨而皮
𥀭	皮雨而
𥁄	一丂皿
𥁇	⺀十皿
𥁈	十又皿
𥁊	ナ又皿
𥁋	大一皿
𥁍	皿ユ人
𥁏	刀口皿
𥁐	厶口皿
𥁑	心丿皿
𥁒	幺力皿
𥁓	ナ口皿
𥁔	皿丿之
𥁕	囗人皿
𥁗	宀匕皿
𥁘	戈丿皿
𥁙	亻子皿
𥁛	予丿皿
𥁞	彐土皿
𥁠	丷夫皿
𥁥	己己皿
𥁦	弋工皿
𥁨	女子皿
𥁫	二戈皿
𥁬	白厶皿
𥁹	木木皿
𥁾	月犬皿
𥁿	冫合皿
𥂀	月月皿
𥂄	目片皿
𥂈	氵甫皿
𥂏	舟尤皿
𥂐	舟犬皿
𥂙	大隹皿
𥂚	辛夊皿
𥂜	合田皿
𥂡	亠咼皿
𥂤	⺽古皿
𥂰	酉古皿
𥂳	冫馬皿
𥃌	辛來皿
𥃳	目一丂
𥃴	目乙十
𥃵	目几丶
𥃶	目丿几
𥃼	目丿厶
𥄀	目乚乚
𥄁	目乚乂
𥄂	十目一
𥄆	目一幺
𥄈	亠八目
𥄉	目乚巛
𥄊	目一川
𥄋	目冂人
𥄌	目九十
𥄎	目⺊又
𥄏	目十又
𥄒	目亻匕
𥄔	目一巾
𥄖	目八十
𥄘	八⺈目
𥄙	目丅儿
𥄚	目丅八
𥄜	目厶十
𥄝	目一山
𥄞	目冂又
𥄟	八刀目
𥄠	目幺乙
𥄡	目口丨
𥄦	目亠几
𥄩	目幺乚
𥄪	一𫝀目
𥄫	目乃乀
𥄬	目一𫝀
𥄭	目𠂉十
𥄰	目亻二
𥄵	目木丶
𥄷	目匚コ
𥄹	目勹巳
𥄺	目人干
𥄻	目宀匕
𥄾	屮丆目
𥄿	目尸二
𥅂	目亻也
𥅃	目日一
𥅄	女又目
𥅅	目𰀁凵
𥅆	目冂土
𥅇	目彳力
𥅊	目不一
𥅌	口丄目
𥅏	目一日
𥅑	目尸コ
𥅒	目千凵
𥅓	目𠂉也
𥅔	目斤一
𥅕	丿月目
𥅖	目丶王
𥅘	目⺈小
𥅛	目戊一
𥅜	目戊一
𥅝	一廾目
𥅞	目弋工
𥅣	目尸工
𥅥	目宀女
𥅦	目丰八
𥅧	目丿皿
𥅩	目亻戈
𥅪	目丩夊
𥅭	目二日
𥅯	目戈ナ
𥅰	十戈目
𥅲	目牛八
𥅳	目干干
𥅴	目夫丷
𥅵	止八目
𥅹	目夊巾
𥅺	目⺈巴
𥅾	目广土
𥆀	目氵工
𥆂	目亻壬
𥆃	目女口
𥆄	目⺌兀
𥆅	士口目
𥆇	龷八目
𥆈	目龷匕
𥆉	目亻殳
𥆊	目止廴
𥆌	目⺈用
𥆍	目耳乚
𥆎	目糹乚
𥆏	目戊乙
𥆑	目壬廴
𥆒	目白儿
𥆓	目亻申
𥆔	目耂子
𥆙	目尤彡
𥆚	目氵王
𥆛	彳殳目
𥆢	目目匕
𥆣	目目又
𥆦	目兀王
𥆧	目门王
𥆪	目木口
𥆫	目口木
𥆬	目爫子
𥆭	目扌夫
𥆵	目火廾
𥇀	目艹亡
𥇃	目犭火
𥇄	目又目
𥇆	目米乚
𥇉	目⺶乚
𥇋	目亡目
𥇌	目⺈臼
𥇍	目⺊早
𥇏	目日火
𥇐	目斤辶
𥇒	目立女
𥇗	目尸由
𥇘	目囗禾
𥇛	大目目
𥇝	目大𢆉
𥇠	夊目目
𥇡	罒大𢆉
𥇢	目车斤
𥇤	目尸由
𥇥	目合人
𥇦	目木斤
𥇧	目大示
𥇩	目臼丂
𥇫	目䒑水
𥇬	目日木
𥇭	目矢口
𥇲	氵皮目
𥇴	目爿斤
𥇷	目山石
𥇺	目爿犬
𥇻	目宀由
𥇼	目石廾
𥇾	目毛毛
𥈀	目目大
𥈇	目而大
𥈊	目千臼
𥈏	目目夭
𥈖	目大羊
𥈜	夫目目
𥈡	目木示
𥈢	目⺷大
𥈥	目忄艮
𥈧	目龵目
𥈮	目罒方
𥈯	目亻里
𥈳	目穴犬
𥈴	目虍𬼖
𥈸	木目目
𥈹	目穴牙
𥈼	舟殳目
𥈾	目穴目
𥈿	目工貝
𥉀	目罒水
𥉌	目艹合
𥉎	目彳見
𥉑	目冖隹
𥉒	目自木
𥉔	耳火目
𥉘	目⺁虎
𥉜	目𡗗禾
𥉞	目罒目
𥉟	目舟殳
𥉤	目火艮
𥉨	目彡見
𥉩	立电目
𥉫	目立电
𥉰	目爫臼
𥉳	目卯田
𥉹	目田糸
𥉺	目穴至
𥉽	目广隶
𥉿	目不見
𥊉	目穴合
𥊋	目爫見
𥊎	目𡗗臼
𥊖	目土隹
𥊡	目車欠
𥊩	目車辶
𥊰	目龸足
𥊲	目尚木
𥊵	目隶辶
𥊺	目門木
𥊼	目尚牙
𥊾	工目頁
𥋃	目而而
𥋅	虫虫目
𥋇	目尚手
𥋖	目虍业
𥋣	目西貝
𥋨	目鹿匕
𥋳	目山鬼
𥋸	目雨田
𥌊	辛目辛
𥌎	目雨而
𥌒	壴皮目
𥌕	革皮目
𥌜	目鹿灬
𥌧	目魚日
𥌨	目米頁
𥍎	目禺頁
𥍝	予丿一
𥍟	予丿殳
𥍡	予丿白
𥍥	予丿戊
𥍪	予丿豸
𥎀	予丿頁
𥎨	二丨矢
𥎫	刀刀矢
𥎬	矢匕匕
𥎮	矢⺁又
𥎰	矢土厶
𥎵	矢丁口
𥎸	矢亠幺
𥎼	止厂矢
𥎽	矢山大
𥏁	矢止丂
𥏄	矢丆日
𥏇	丷夫矢
𥏊	矢习习
𥏋	⺧儿矢
𥏌	矢⺧儿
𥏍	矢夕口
𥏎	矢壬廴
𥏐	矢禾几
𥏓	矢日廾
𥏖	矢厶矢
𥏗	矢禾乃
𥏛	立戈矢
𥏡	矢立女
𥏣	矢大𢆉
𥏥	矢⺊早
𥏩	矢弓瓜
𥏭	矢世木
𥏮	矢立日
𥏯	矢口早
𥏱	矢千里
𥏳	來厶矢
𥏵	矢卯田
𥏺	矢⺶工
𥏿	矢門口
𥐀	矢其斤
𥐂	上矢禺
𥐎	矢雨而
𥐖	丆一口
𥐘	厂二口
𥐝	石勹丶
𥐟	石丶乂
𥐠	石九丶
𥐤	石人乚
𥐥	石丿几
𥐩	石勹冫
𥐪	石ナ厶
𥐭	石𠂉十
𥐮	石尸乀
𥐯	石二厶
𥐰	石匚乂
𥐱	石冖几
𥐳	石一𫝀
𥐵	石匚儿
𥐷	石勹乂
𥐸	石厶儿
𥐺	石一幺
𥐻	石冂乂
𥐼	石冂又
𥐾	石勹厶
𥐿	石⺀十
𥑀	石冖儿
𥑂	石十又
𥑃	石丶下
𥑄	石士乙
𥑅	石𠂉九
𥑆	石力口
𥑇	石丿夫
𥑈	石广丁
𥑉	石厂巳
𥑊	石尸又
𥑋	石又土
𥑌	石女又
𥑍	石丷𰀁
𥑎	石冂口
𥑏	石口乂
𥑑	石幺力
𥑒	石人小
𥑖	石心丿
𥑙	工力石
𥑛	石ナ口
𥑜	石不一
𥑝	石乙水
𥑞	石冂大
𥑟	士冖石
𥑠	石卄二
𥑡	石木丶
𥑢	石ナ巾
𥑧	亻寸石
𥑨	石𰃦乂
𥑭	石匚コ
𥑰	石ナ工
𥑱	工刀石
𥑲	石日一
𥑳	石戈ナ
𥑴	石亠𧘇
𥑶	石丰八
𥑷	石日人
𥑺	石䒑屮
𥑻	石⺧儿
𥑼	亻戈石
𥑽	石⺁巴
𥑾	石十廾
𥑿	石ナ月
𥒁	石⺍川
𥒃	石土也
𥒆	石䒑大
𥒇	石宀女
𥒉	石习习
𥒊	石夕口
𥒌	石丿皿
𥒍	石⺈巴
𥒎	石二戈
𥒏	石日乂
𥒐	土土石
𥒑	石一生
𥒔	石止廴
𥒗	石爫厶
𥒘	石勹日
𥒜	石冫水
𥒟	氵巳石
𥒠	彐土石
𥒤	石巛山
𥒥	石夕夕
𥒦	石土也
𥒧	石又龰
𥒪	石宀牛
𥒫	石爫子
