㑇	亻 负字头 彐
朝	十 早 月
朞	其 青字底
期	其 月
朠	月 艹 见二 大
朡	月 乂 凵 八 夂
朢	臣 月 王
朣	月 立 里
朤	月 月 月 月
朥	月 火 火 冖 力
朦	月 艹 冖 1 豕
朧	月 立 青字底 1 5 1 5 三
木	木
朩	朩
未	未
末	1 木
本	木 1
札	木 5
朮	十 3 5 4
术	木 4
朰	木 6
朱	3 未
朲	木 人
朳	木 八
朴	木 卜
朵	几 木
朶	乃 木
朷	木 刀
朸	木 力
朹	木 九
机	木 几
朻	木 丩
朼	木 匕
朽	木 1 5
朾	木 丁
朿	木框 冂
杀	乂 朩
杁	木 入
杂	九 朩
权	木 又
杄	木 千
杅	木 1 于无横
杆	木 干
杇	木 二 5
杈	木 又 4
杉	木 彡
杊	木 川
杋	木 几 4
杌	木 1 儿
杍	木 子
李	木 子
杏	木 口
材	木 于无横 3
村	木 寸
杒	木 刀 4
杓	木 勹 4
杔	木 3 七
杕	木 大
杖	木 左字框 4
杗	亡 木
杘	尸 木
杙	木 弋
杚	木 卧人 6
杛	木 弓
杜	木 土
杝	木 也
杞	木 己
束	束
杠	木 工
条	夂 朩
杢	木 工
杣	木 山
杤	木 1 万无横
来	未 丷
杦	木 久二 4
杧	木 亡
杨	木 5 横两撇
杩	木 马
杪	木 少三 3
杫	木 止
杬	木 二 儿
杭	木 亠 几
杮	木 1 巾
杯	木 不
杰	木 灬
東	木框 日
杲	日 木
杳	木 日
杴	木 欠
杵	木 卧人 十
杶	木 1 屯无横
杷	木 巴
杸	木 殳
杹	木 亻 化字边
杺	木 心
杻	木 5 里无日
杼	木 予
杽	木 手
松	木 八 厶
板	木 反字框 又
枀	八 厶 木
极	木 及
枂	木 月
枃	木 勹 冫
构	木 勹 厶
枅	木 1 廾
枆	木 毛
枇	木 比字旁 匕
枈	比字旁 匕 木
枉	木 王
枊	木 卬字旁 卩
枋	木 方
枌	木 八 刀
枍	木 八 1 5
枎	木 夫
枏	木 冂 二
析	木 斤
枑	木 1 彑
枒	木 牙
枓	木 冬字底 十
枔	木 今
枕	木 冖 儿
枖	木 3 大
林	木 木
枘	木 冂 人
枙	木 厂 㔾
枚	木 攵
枛	木 爪
果	日 木
枝	木 支
枞	木 人 人
枟	木 云
枠	木 九 十
枡	木 3 廾
枢	木 匚 乂
枣	木框 冂 冬字底
枤	木 犬
枥	木 厂 力
枦	木 户
枧	木 见
枨	木 长
枩	木 八 厶
枪	木 全字头 㔾
枫	木 风省 乂
枬	木 周字框 亠
枭	鸟省 木
枮	木 卢字头 口
枯	木 古
枰	木 干 丷
枱	木 厶 口
枲	厶 口 木
枳	木 口 八
枴	木 口 刀
枵	木 口 1 5
架	力 口 木
枷	木 力 口
枸	木 句
枹	木 勹 巳
枺	木 1 木
枻	木 廿 5
枼	廿 5 木
枽	十 廿 木
枾	木 二 2 乔字底
枿	木 十 廾
柀	木 皮
柁	木 宀 匕
柂	木 卧人 也
柃	木 今 4
柄	木 1 冂 人
柅	木 尸 匕
柆	木 立
柇	木 禾
柈	木 丷 举字底
柉	木 3 之
柊	木 夂 冬字底
柋	亻 弋 木
柌	木 5 同字心
柍	木 见二 大
柎	木 亻 寸
柏	木 白
某	甘 木
柑	木 甘
柒	氵 七 木
染	氵 九 木
柔	予 3 木
柕	木 予 3
柖	木 刀 口
柗	木 八 口
柘	木 石
柙	木 甲
柚	木 由
柛	木 日 2
柜	木 匚 叚右角
柝	木 斤 4
柞	木 乍
柟	木 冂 里无日
柠	木 宀 丁
柡	木 二 水
柢	木 氏 4
柣	木 3 夫
柤	木 且
查	木 日 1
柦	木 日 1
柧	木 瓜
柨	木 左字框 巾
柩	木 匚 久二 4
柪	木 幺 力
柫	木 弗
柬	束 丷
柭	木 左字框 又 4
柮	木 屮 凵
柯	木 可
柰	木 示
柱	木 4 斜玉
柲	木 心 3
柳	木 卯
柴	止 匕 木
柵	木 冊
柶	木 四
柷	木 口 儿
柸	木 不 1
柹	木 3 5 2 3
柺	木 口 力
査	木 且
柼	木 穴
柽	木 又 土
柾	木 1 止
柿	木 亠 巾
栀	木 反字框 1 㔾
栁	木 夕 卩
栂	木 母
栃	木 反字框 1 万无横
栄	学无子 木
栅	木 册
栆	同字心 2 人 冬字底
标	木 示
栈	木 1 戈
栉	木 艹 节字底
栊	木 龙
栋	木 东二 小
栌	木 卢字头 尸
栍	木 生
栎	木 乐二 小
栏	木 䒑 二
栐	木 4 永无点
树	木 又 寸
栒	木 勹 日
栓	木 全字头 王
栔	丰 刀 木
栕	木 臣
栖	木 西
栗	覀 木
栘	木 夕 夕
栙	木 夂 㐄
栚	木 䒑 大
栛	木 力 力 力
栜	木 木框 冂
栝	木 舌
栞	1 左字框 干 木
栟	木 䒑 廾
栠	亻 壬 木
校	木 六 乂
栢	木 1 白
栣	木 亻 壬
栤	木 冫 水
栥	冫 欠 木
栦	木 横三点 川
栧	木 日 5 3
栨	木 冫 欠
栩	木 羽
株	木 3 未
栫	木 左字框 2 子
栬	木 负字头 巴
栭	木 而
栮	木 耳
栯	木 左字框 青字底
栰	木 亻 戈
栱	木 共
栲	木 耂 1 5
栳	木 老
栴	木 卧人 周字框 亠
栵	木 歹 刂
栶	木 囗 大
样	木 羊
核	木 亥
根	木 艮
栺	木 匕 日
栻	木 弋 工
格	木 各
栽	十 戈 木
栾	亠 变字头无亠 木
栿	木 亻 犬
桀	夕 㐄 木
桁	木 彳 亍
桂	木 土 土
桃	木 儿 率字腰
桄	木 光
桅	木 负字头 厂 㔾
框	木 匚 王
桇	女 口 木
案	宀 女 木
桉	木 宀 女
桊	龹 木
桋	木 大框 弓
桌	卢字头 日 木
桍	木 大 二 5
桎	木 至
桏	木 工 阝
桐	木 冂 同字心
桑	又 又 又 木
桒	十 贲字腰 木
桓	木 1 日 1
桔	木 士 口
桕	木 臼
桖	木 3 皿
桗	木 乃 木
桘	木 3 㠯
桙	木 厶 牛
桚	木 巛 夕
桛	木 卢字头 1 1 卜
桜	木 学字头 女
桝	木 夕 㐄
桞	木 夕 阝
桟	木 二 戈
桠	木 1 业
桡	木 尧字头 1 儿
桢	木 卢字头 贝
档	木 尚字头 彐
桤	木 山 己
桥	木 3 大 乔字底
桦	木 亻 化字边 十
桧	木 全字头 云
桨	丬 夕 木
桩	木 广 土
桪	木 彐 寸
桫	木 氵 少三 3
桬	氵 少三 3 木
桭	木 辰
桮	木 不 口
桯	木 口 王
桰	木 氏 口
桱	木 1 巛 工
桲	木 十 冖 子
桳	木 厶 大 十
桴	木 爫 子
桵	木 爫 女
桶	木 龴 甬字底
桷	木 负字头 用
桸	木 乂 左字框 巾
桹	木 4 艮
桺	木 丌 匚 叚右角
桻	木 夂 丰
桼	木 全字头 氺
桽	木 人 人 土
桾	木 聿三 3 口
桿	木 日 干
梀	木 束
梁	氵 刀 横两点 木
梂	木 于无横 率字腰 4
梃	木 壬 廴
梄	木 酉
梅	木 卧人 母
梆	木 寿字头 阝
梇	木 王 廾
梈	木 享字头 了
梉	木 爿 士
梊	扌 斤 木
梋	木 口 青字底
梌	木 全字头 余字底
梍	木 白 七
梎	木 白 匕
梏	木 告字头 口
梐	木 比字旁 匕 土
梑	木 犭 火
梒	木 今 口
梓	木 辛
梔	木 反字框 1 巴
梕	木 刀 4 心
梖	木 目 八
梗	木 1 日 乂
梘	木 目 儿
梙	木 口 口 2
梚	木 负字头 口 儿
梛	木 5 夫三 阝
梜	木 大 人 人
條	亻 2 夂 朩
梞	木 己 心
梟	3 见二 三 5 木
梠	木 口 口
梡	木 宀 二 儿
梢	木 尚字头 青字底
梣	木 山 今
梤	木 山 八 刀
梥	宀 八 厶 木
梦	木 木 夕
梧	木 五 口
梨	禾 刂 木
梩	木 里
梪	木 同字心 䒑
梫	木 彐 冖 又
梬	木 由 1 5
梭	木 厶 傻下角
梮	木 尸 5 口
梯	木 丷 弟省
械	木 戈 廾
梱	木 囗 木
梲	木 八 口 儿
梳	木 充字头 荒字底
梴	木 3 延字心无撇 廴
梵	木 木 几 4
梶	木 尸 毛
梷	卢字头 口 又 木
梸	木 禾 刂
梹	木 丘无横 1 八
梺	木 木 1 卜
梻	木 亻 弗
梼	木 寿字头 寸
梽	木 士 心
梾	木 未 丷
梿	木 车 辶
检	木 亼 应字心
棁	木 丷 口 儿
棂	木 彐 火
棃	禾 黎右角 木
棄	充字头 廿 木
棅	木 禾框 聿三
棆	木 亼 扁字心
棇	木 八 厶 心
棈	木 龶 青字底
棉	木 白 巾
棊	其 木
棋	木 其
棌	木 爫 木
棍	木 日 比字旁 匕
棎	木 㓁 木
棏	木 日 1 寸
棐	非 木
棑	木 非
棒	木 春字头 举字底
棓	木 立 口
棔	木 氏 日
棕	木 宀 示
棖	木 1 2 三 畏字底
棗	木框 冂 木框 冂
棘	木框 冂 木框 冂
棙	木 户 犬
棚	木 月 月
棛	木 充字头 青字底
棜	木 方 全字头 冬字底
棝	木 囗 古
棞	木 囗 禾
棟	木 木框 日
棠	尚头 木
棡	木 冂 䒑 山
棢	木 冂 䒑 亡
棣	木 隶字框 率字腰
棤	木 龷 日
棥	木 乂 乂 木
棦	木 负字头 争字底
棧	木 戈 戈
棨	户 攵 木
棩	木 乔字底 2 1 5 1 5 1 2
棪	木 火 火
棫	木 戈 口 1
棬	木 龹 㔾
棭	木 亠 亻 夂 4
森	木 木 木
棯	木 今 心
棰	木 垂
棱	木 土 傻下角
棲	木 1 妻字头无横 女
棳	木 又 又 又 又
棴	木 月 卩 又
棵	木 日 木
棶	木 木框 人 人
棷	木 耳 又
棸	耳 又 木
棹	木 卢字头 早
棺	木 宀 㠯
棻	艹 八 刀 木
棼	木 木 八 刀
棽	木 木 今
棾	木 木 冖 几
棿	木 臼 儿
椀	木 宀 夕 㔾
椁	木 享字头 子
椂	木 录字头 氺
椃	木 虎
椄	木 立 女
椅	木 大 可
椆	木 周字框 土 口
椇	木 具字头 八
椈	木 勹 米
椉	亠 夕 㐄 木
椊	木 亠 人 人 十
椋	木 享字头 小
椌	木 穴 工
植	木 十 具字头
椎	木 隹
椏	木 1 2 1 5 5 1 2 1
椐	木 尸 古
椑	木 白 3 十
椒	木 卢字头 1 小 又
椓	木 豕 4
椔	木 巛 田
椕	木 八 刀 木
椖	木 户 方
椗	木 宀 定字底
椘	木 木 之
椙	木 日 日
椚	木 见二 二 冂 二
椛	木 艹 亻 化字边
検	木 全字头 同字心 人
椝	夫 见 木
椞	木 斤 木
椟	木 卖字头 冬字底 大
椠	车旁 斤 木
椡	木 至 刂
椢	木 囗 斜玉 4
椣	木 见二 龷 八
椤	木 罒 夕
椥	木 矢 口
椦	木 龹 力
椧	木 亼 口 卩
椨	木 广 亻 寸
椩	木 广 聿三 人
椪	木 䒑 业
椫	木 丷 日 十
椬	木 宀 且
椭	木 阝 左字框 青字底
椮	木 厶 大 彡
椯	木 山 而
椰	木 耳 阝
椱	木 卧人 日 夂
椲	木 候右角 2 口 㐄
椳	木 田 1 畏字底
椴	木 段字旁 殳
椵	木 叚字旁无二 二 叚右角 又
椶	木 乂 凵 八 夂
椷	木 戊 同字心
椸	木 方 卧人 也
椹	木 其 5
椺	木 亻 口 木
椻	木 匚 日 女
椼	木 彳 氵 亍
椽	木 彑 豕省
椾	木 䒑 青字底 刂
椿	木 春字头 日
楀	木 3 口 禺下
楁	木 宀 各
楂	木 木 日 1
楃	木 尸 至
楄	木 户 扁字心
楅	木 同字心 田
楆	木 覀 女
楇	木 见二 5 冂 口
楈	木 疋 青字底
楉	木 艹 左字框 口
楊	木 日 1 勿
楋	木 束 刂
楌	木 立无横 厂 彡
楍	木 口 口 口
楎	木 冖 1 日 十
楏	木 大 土 土
楐	木 田 全字头 乔字底
楑	木 癶 1 大
楒	木 田 心
楓	木 风省 3 虫
楔	木 丰 刀 大
楕	木 左字框 工 青字底
楖	木 即字旁 卩
楗	木 聿 廴
楘	予 3 攵 木
楙	木 予 3 木
楚	木 木 疋
楛	木 艹 古
楜	木 古 月
楝	木 束 丷
楞	木 罒 方
楟	木 享字头 冖 丁
楠	木 十 冂 南字心
楡	木 入 1 青字底 5 5
楢	木 丷 酉
楣	木 眉字框 目
楤	木 勿 4 心
楥	木 爫 1 左字框 又
楦	木 宀 1 日 1
楧	木 艹 见二 大
楨	木 卢字头 目 八
楩	木 亻 1 日 乂
楪	木 廿 5 木
楫	木 口 耳
楬	木 日 勹 亾
業	业 䒑 未
楮	木 者
楯	木 反字框 十 目
楰	木 臼 人
楱	木 春字头 1 大
楲	木 戊 1 女
楳	木 甘 木
楴	木 立无横 冖 巾
極	木 了 口 又 1
楶	冫 欠 口 木
楷	木 比字旁 匕 白
楸	木 禾 火
楹	木 乃 又 皿
楺	木 予 3 木
楻	木 白 王
楼	木 米 女
楽	白 率字腰 木
楾	木 白 水
楿	木 禾 日
榀	木 口 口 口
榁	木 宀 至
概	木 即字旁 旡
榃	木 木 田
榄	木 临字旁 临右角 见
榅	木 日 皿
榆	木 亼 青字底 刂
榇	木 立 朩
榈	木 门 口 口
榉	木 应字心 八 举字底
榊	木 礻 日 2
榋	木 彐 彐 彐
榌	木 飞 3 乔字底 飞
榍	木 尸 尚字头 青字底
榎	木 1 自 夂
榏	木 益字头 皿
榐	木 尸 龷 畏字底
榑	木 甫 寸
榒	木 弓 冫 弓 冫
榓	木 心 3 皿
榔	木 4 即字旁 阝
榕	木 宀 谷
榖	壳字头 1 木 殳
榗	木 1 业 日
榘	矢 匚 叚右角 木
榙	木 艹 亼 口
榚	木 美字头 灬
榛	木 春字头 禾
榜	木 立无横 冖 方
榝	木 乂 朩 殳
榞	木 厂 白 小
榟	木 宀 辛
榠	木 冖 日 六
榡	木 龶 糸
榢	木 宀 豕
榣	木 爫 缶
榤	木 夕 㐄 木
榥	木 日 光
榦	十 早 全字头 木
榧	木 匚 非
榨	木 穴 乍
榩	木 虍 文
榪	木 1 2 举字底 5 灬
榫	木 隹 十
榬	木 土 口 衣省
榭	木 身 寸
榮	火 火 冖 木
榯	木 日 土 寸
榰	木 老 日
榱	木 享字头 1 衣省
榲	木 囗 人 皿
榳	木 广 壬 廴
榴	木 留字头 田
榵	木 艹 耳
榶	木 广 肀 口
榷	木 冖 隹
榸	木 土 里
榹	木 反字框 虎
榺	月 龹 木
榻	木 日 羽
榼	木 土 厶 皿
榽	木 爫 幺 大
榾	木 骨
榿	木 山 同字心 䒑
槀	高 木
槁	木 高
槂	木 子 3 糸
槃	舟 殳 木
槄	木 爫 臼
槅	木 鬲
槆	木 艹 勹 日
槇	木 匕 目 5 八
槈	木 辰 寸
槉	木 疒 矢
槊	䒑 䶹 月 木
構	木 1 龷 冂 里无日
槌	木 3 㠯 辶
槍	木 全字头 4 尸 1 口
槎	木 差字头 工
槏	木 兼
槐	木 鬼
槑	口 木 口 木
槒	木 亠 幺 田
槓	木 工 目 八
槔	木 白 大 十
槕	木 卢字头 日 木
槖	壳字头 石 木
槗	木 左字框 口 冂 口
様	木 美字头 氺
槙	木 十 具字头 八
槚	木 覀 贝
槛	木 临字旁 临右角 皿
槜	木 隹 乃
槝	木 3 见二 三 5 山
槞	木 立 日 5
槟	木 宀 丘无横 1 八
槠	木 讠 者
槡	木 又 又 又 木
槢	木 羽 白
槣	木 宀 大 可
槤	木 1 日 十 辶
槥	木 丰 丰 彐
槦	木 广 肀 青字底
槧	1 日 十 斤 木
槨	木 享字头 子 阝
槩	即字旁 旡 木
槪	木 白 比字旁 旡
槫	木 1 日 虫无口 寸
槬	木 大 二 5 瓜
槭	木 戊 卢字头 1 小
槮	木 厶 厶 厶 全字头 彡
槯	木 山 隹
槰	木 夂 丰 辶
槱	木 酉 灬
槲	木 负字头 用 冬字底 十
槳	爿 然左角 寸 木
槴	木 户 口 巴
槵	木 口 口 2 心
槶	木 囗 戈 口 1
槷	土 八 土 丸 木
槸	木 土 八 土 丸
槹	木 白 率字腰 十
槺	木 广 隶字框 率字腰
槻	木 夫 目 儿
槼	夫 目 儿 木
槽	木 1 曲 日
槾	木 日 罒 又
槿	木 廿 口 龶
樀	木 立无横 冂 古
樁	木 春字头 臼
樂	白 幺 幺 木
樃	木 4 即字旁 月
樄	木 阝 木框 日
樅	木 彳 人 人 龰
樆	木 亠 乂 凵 禸
樇	木 亻 2 夂 青字底
樈	木 音 儿
樉	木 大框 乂 乂 乂 乂
樊	木 乂 乂 木 大
樋	木 龴 甬字底 辶
樌	木 贯字头 目 八
樍	木 龶 目 八
樎	木 宀 亻 1 白
樏	木 田 糸
樐	木 卢字头 囗 乂 4 横两点 4
樑	木 氵 刀 横两点 木
樒	木 宀 心 3 山
樓	木 口 十 口 女
樔	木 巛 日 木
樕	木 束 欠
樖	亼 口 木 可
樗	木 雨头 二 5
樘	木 尚头 土
標	木 覀 示
樚	木 鹿
樛	木 羽 全字头 彡
樜	木 广 廿 灬
樝	木 虍 且
樞	木 匚 口 口 口
樟	木 立 早
樠	木 廿 巾 入 入
模	木 艹 日 大
樢	木 3 见二 三 5 灬
樣	木 美字头 4 永无点
樤	木 亻 2 夂 朩
樥	木 艹 夂 丰
樦	木 竹头 4 斜玉
樧	木 乂 木 4 殳
樨	木 尸 氺 牛
権	木 卧人 1 隹
横	木 龷 由 八
樫	木 臣 又 土
樬	木 囱字框 夂 心
樭	木 其 土
樮	木 覀 火
樯	木 土 丷 囗 口
樰	木 雨头 彐
樱	木 贝 贝 女
樲	木 弋 二 目 八
樳	木 彐 工 口 寸
樴	木 音 戈
樵	木 隹 灬
樶	木 日 耳 又
樷	木 木 耳 又
樸	木 业 养字头
樹	木 壴 寸
樺	木 艹 1 贲字腰 举字底
樻	木 贵字头 目 八
樼	木 尸 子 子 子
樽	木 丷 酉 寸
樾	木 走 戉
樿	木 口 口 日 十
橀	木 充字头 荒字底 皿
橁	木 竹头 勹 日
橂	木 丷 酉 大
橃	木 癶 弓 殳
橄	木 5 耳 攵
橅	木 舞字头 灬
橆	舞字头 木 木
橇	木 毛 毛 毛
橈	木 土 土 土 1 儿
橉	木 米 夕 㐄
橊	木 1 临字旁 匚 叚右角 田
橋	木 3 大 口 冂 口
橌	木 见二 二 冂 二 月
橍	木 见二 二 冂 二 王
橎	木 3 米 田
橏	木 羊 䒑 口
橐	同字心 2 冖 石 木
橑	木 大变 丷 日 小
橒	木 雨头 云
橓	木 爫 冖 夕 㐄
橔	木 享字头 子 攵
橕	木 尚头 牙
橖	木 尚头 木
橗	木 艹 日 月
橘	木 予 3 冂 八 口
橙	木 癶 同字心 䒑
橚	木 肀 乔字底 2 1 5 1 5 1 2
橛	木 厂 䒑 䶹 欠
橜	厂 䒑 䶹 欠 木
橝	木 覀 早
橞	木 1 日 虫无口 心
機	木 幺 幺 戈 人
橠	木 亠 夕 夕 衣省
橡	木 象
橢	木 阝 左字框 工 青字底
橣	木 宀 心 甬字底
橤	心 心 心 木
橥	犭 者 木
橦	木 立 里
橧	木 丷 曾字头无丷 日
橨	木 十 贲字腰 目 八
橩	木 火 火 冖 几
橪	木 然左角 犬 灬
橫	木 廿 1 由 八
橬	木 旡 旡 日
橭	木 古 辛
橮	木 留字头 目 八
橯	木 火 火 冖 力
橰	木 自 率字腰 十
橱	木 厂 同字心 䒑 寸
橲	木 壴 口
橳	木 月 龹 力
橴	木 止 匕 糸
橵	木 龷 青字底 攵
橶	木 十 早 戈
橷	木 白 北字旁 匕 儿
橸	木 日 日 日
橹	木 鱼 日
橺	木 见二 二 冂 二 日
橻	木 5 里无日 5 里无日 5 里无日
橼	木 纟 彑 豕省
橽	木 土 羊 辶
橾	木 口 口 口 木
橿	木 1 田 1 田 1
檀	木 亠 囗 口 日 1
檁	木 亠 囗 口 禾
檂	木 曲 辰
檃	阝 爫 工 彐 木
檄	木 白 方 攵
檅	木 止 戊 1 步字底
檆	木 火 火 卢字头 口
檇	木 隹 凹无横
檈	木 罒 同字心 衣省
檉	木 耳 口 王
檊	木 十 早 全字头 干
檋	木 共 1 日 十
檌	木 罒 非
檍	木 音 心
檎	木 全字头 亠 乂 凵 禸
檏	木 业 䒑 未
檐	木 负字头 厂 八 言
檑	木 雨头 田
檒	木 木 风省 3 虫
檓	木 臼 工 殳
檔	木 尚头 田
檕	1 日 十 凵 殳 木
檖	木 䒑 豕省 辶
檗	尸 口 辛 木
檘	木 尸 口 辛
檙	木 目 鼎左角 鼎右角
檚	木 木 木 疋
檛	木 见二 5 冂 口 辶
檜	木 亼 曾字头无丷 日
檝	木 口 耳 戈
檞	木 负字头 用 刀 牛
檟	木 覀 目 八
檠	艹 句 攵 木
檡	木 罒 土 南字心
檢	木 亼 口 口 人 人
檣	木 土 人 人 囗 口
檤	木 䒑 自 辶
檥	木 美字头 3 扌 戈
檦	木 覀 示 刂
檧	木 艹 勿 4 心
檨	木 美字头 冫 欠
檩	木 亠 囗 口 示
檪	木 白 率字腰 木
檫	木 宀 祭字头 示
檬	木 艹 冖 1 豕
檭	木 金 艮
檮	木 士 5 工 1 口 寸
檯	木 士 口 冖 至
檰	木 幺 横三点 白 巾
檱	木 竹头 其
檲	木 囗 1 日 虫无口 寸
檳	木 宀 1 步字底 目 八
檴	木 艹 隹 又
檵	木 幺 幺 1 幺 幺 5
檶	木 大 匚 口 口 口
檷	木 1 八 巾 乂 乂 乂 乂
檸	木 宀 心 皿 丁
檹	木 方 卧人 大 可
檺	木 享字头 冖 豕
檻	木 臣 临右角 皿
檼	木 爫 工 彐 心
檽	木 雨头 而
檾	火 火 冖 木 木
檿	厂 日 青字底 犬 木
櫀	木 其 糸
櫁	木 宀 心 3 虫
櫂	木 羽 隹
櫃	木 匚 贵字头 目 八
櫄	木 千 黑
櫅	木 亠 丷 2 刀 卬字旁 4 乔字底 二
櫆	木 鬼 冬字底 十
櫇	木 皮 1 3 目 八
櫈	木 癶 同字心 䒑 几
櫉	木 厂 壴 寸
櫊	木 见二 二 冂 二 各
櫋	木 自 穴 方
櫌	木 1 3 见二 二 冖 心 夂
櫍	木 斤 斤 目 八
櫎	木 广 龷 由 八
櫏	木 覀 大 巳 辶
櫐	田 田 田 木
櫑	木 田 田 田
櫒	木 艹 祭字头 示
櫓	木 负字头 田 灬 日
櫔	木 厂 艹 日 禺下
櫕	木 夫 夫 目 八
櫖	木 虍 田 心
櫗	木 艹 罒 戊 4
櫘	木 丰 丰 彐 心
櫙	木 艹 匚 口 口 口
櫚	木 见二 二 冂 二 口 口
櫛	木 竹头 即字旁 卩
櫜	同字心 2 冖 夂 卜 口 木
櫝	木 士 罒 目 八
櫞	木 幺 横三点 彑 豕省
櫟	木 白 幺 幺 木
櫠	木 广 癶 弓 殳
櫡	木 竹头 者
櫢	木 口 十 口 女 攵
櫣	木 艹 1 日 十 辶
櫤	木 竹头 䒑 青字底 刂
櫥	木 广 壴 寸
櫦	木 广 叚右角 临字旁 5 心 夂
櫧	木 言 者
櫨	木 虍 田 皿
櫩	木 见二 二 冂 二 负字头 臼
櫪	木 厂 禾 禾 止
櫫	豕 者 木
櫬	木 立 朩 目 儿
櫭	木 即字旁 旡 日 1
櫮	木 噩字框 口 口 口 口
櫯	木 负字头 田 灬 禾
櫰	木 亠 罒 氺 衣省
櫱	䶹 3 㠯 辛 木
櫲	木 予 象
櫳	木 立 青字底 1 5 1 5 三
櫴	木 束 负字头 目 八
櫵	木 艹 隹 灬
櫶	木 宀 丰 罒 心
櫷	木 3 见二 1 1 2 5 聿三 聿三 叚右角 乂
櫸	木 臼裂 1 与无横 2 八 举字底
櫹	木 艹 肀 乔字底 2 1 5 1 5 1 2
櫺	木 雨头 口 口 口
櫻	木 目 八 目 八 女
櫼	木 人 人 戈 非 1
櫽	阝 爫 工 彐 心 木
櫾	木 爫 缶 3 糸
櫿	木 火 火 冖 口 口
欀	木 亠 口 口 1 龷 衣省
欁	木 曲 辰 木
欂	木 艹 氵 甫 寸
欃	木 负字头 口 比字旁 匕 兔
欄	木 见二 二 冂 二 束 丷
欅	木 臼裂 1 与无横 2 八 手
欆	木 隹 隹 又
欇	木 耳 耳 耳
欈	木 山 隹 冂 八 口
欉	木 业 南字心 耳 又
權	木 艹 口 口 隹
欋	木 目 目 隹
欌	木 艹 臧字框 臣
欍	木 艹 隹 臼
欎	木 乂 乂 木 冖 即字旁 寸
欏	木 罒 幺 横三点 隹
欐	木 1 丽下角 1 丽下角 鹿
欑	木 告字头 儿 告字头 儿 目 八
欒	言 幺 横三点 幺 横三点 木
欓	木 尚头 黑
欔	木 目 目 隹 又
欕	木 口 口 厂 5 耳 攵
欖	木 臣 临右角 罒 目 儿
欗	木 艹 见二 二 冂 二 束 丷
欘	木 尸 氺 罒 勹 虫
欙	木 田 田 田 糸
欚	木 彑 豕省 虫 虫
欛	木 雨头 革 月
欜	木 同字心 2 冖 口 口 1 龷 衣省
欝	木 乂 乂 木 罒 即字旁 寸
欞	木 雨头 口 口 口 工 人 人
欟	木 艹 口 口 隹 目 儿
欠	欠
次	冫 欠
欢	又 欠
欣	斤 欠
欤	与 欠
欥	日 欠
欦	今 欠
欧	匚 乂 欠
欨	句 欠
欩	刀 口 欠
欪	屮 凵 欠
欫	卸字旁 欠
欬	亥 欠
欭	囗 大 欠
欮	䒑 䶹 欠
欯	士 口 欠
欰	3 皿 欠
欱	亼 口 欠
欲	谷 欠
欳	卢字头 扁字心 欠
欴	4 即字旁 欠
欵	匕 矢 欠
欶	束 欠
欷	乂 左字框 巾 欠
欸	厶 矢 欠
欹	大 可 欠
欺	其 欠
欻	火 火 欠
欼	又 又 又 又 欠
欽	金 欠
款	士 示 欠
欿	负字头 臼 欠
歀	木 示 欠
歁	其 5 欠
歂	山 而 欠
歃	千 臼 欠
歄	见二 5 冂 口 欠
歅	覀 土 欠
歆	音 欠
歇	日 勹 亾 欠
歈	亼 青字底 刂 欠
歉	兼 欠
歊	高 欠
歋	反字框 虎 欠
歌	可 可 欠
歍	3 见二 二 5 灬 欠
歎	廿 口 夫 欠
歏	廿 口 龶 欠
歐	匚 口 口 口 欠
歑	虍 3 丷 于无横 欠
歒	立无横 冂 古 欠
歓	卧人 1 隹 欠
歔	虍 业 欠
歕	十 贲字腰 目 八 欠
歖	壴 口 欠
歗	肀 乔字底 2 1 5 1 5 1 2 欠
歘	火 火 火 欠
歙	亼 口 羽 欠
歚	羊 䒑 口 欠
歛	亼 口 口 人 人 欠
歜	罒 勹 虫 欠
歝	罒 土 南字心 欠
歞	日 幺 幺 灬 欠
歟	臼裂 1 与无横 2 八 欠
歠	又 又 又 又 酉 欠
歡	艹 口 口 隹 欠
止	止
正	1 止
此	止 匕
步	止 步字底
武	1 弋 止
歧	止 支
歨	止 龰
歩	止 少三 3
歪	不 1 止
歫	止 匚 叚右角
歬	止 舟
歭	止 土 寸
歮	止 止 止
歯	止 米 凵
歰	刀 4 刀 4 止 止
歱	止 千 里
歲	止 戊 1 步字底
歳	止 戊 1 小
歴	厂 木 木 止
歵	止 龶 目 八
歶	止 匕 日 禺下
歷	厂 禾 禾 止
歸	3 㠯 止 彐 冖 巾
歹	歹
歺	歺
死	歹 匕
歼	歹 千
歽	歹 斤
歾	歹 勿
歿	歹 勹 又
殀	歹 3 大
殁	歹 殳
殂	歹 且
殃	歹 见二 大
殄	歹 全字头 彡
殅	歹 生
殆	歹 厶 口
殇	歹 卧人 5 横两撇
殈	歹 3 皿
殉	歹 勹 日
殊	歹 3 未
残	歹 1 戈
殌	歹 1 巛 工
殍	歹 爫 子
殎	歹 大 人 人
殏	歹 于无横 率字腰 4
殐	歹 束
殑	歹 古 儿
殒	歹 口 贝
殓	歹 亼 应字心
殔	歹 隶字框 率字腰
殕	歹 立 口
殖	歹 十 具字头
殗	歹 大 日 5
殘	歹 戈 戈
殙	歹 氏 日
殚	歹 丷 日 十
殛	歹 了 口 又 1
殜	歹 廿 5 木
殝	歹 春字头 禾
